x,y,z
405.6331328,53.92658852,a
258.9390461,173.8698994,a
221.0581753,-11.05050955,a
4.437899381,122.7261721,a
592.9153369,21.20413108,a
174.7776884,68.34472732,a
596.8063356,63.32967109,a
551.7284787,73.02659497,a
712.0718947,50.61551963,a
594.4551362,92.20839203,a
700.7007806,58.93792644,a
370.1006147,57.50189074,a
505.8391358,65.10375518,a
191.3197937,134.1209954,a
563.1800129,76.3144828,a
557.8624237,41.97236057,a
593.4645658,38.58851859,a
50.67159734,15.21143663,a
392.2107455,32.88327114,a
676.6159346,38.2717158,a
585.6021039,79.49851151,a
643.0933712,212.4342983,a
570.831447,8.15536761,a
708.624018,62.33525032,a
639.2428274,165.2991917,a
470.6902611,35.49734824,a
650.3062643,73.76961651,a
404.012162,27.98143307,a
284.3229326,76.34626729,a
645.4479641,200.0257466,a
550.6541316,51.96229971,a
383.7806462,71.61422994,a
61.10644407,86.6545849,a
473.1644707,129.8389628,a
347.7808503,88.47463452,a
423.4687331,109.2467468,a
447.3226953,172.9664622,a
324.0221558,89.57912631,a
69.73834577,90.48586449,a
503.5387234,58.9917092,a
253.7338382,117.7914158,a
52.76696893,83.3322824,a
219.6846092,44.91753112,a
225.7260196,106.8775845,a
48.33094077,74.64398542,a
163.2574982,33.97262908,a
209.5234813,117.1921766,a
390.2613395,39.11635786,a
658.5405372,80.60098493,a
634.1212247,45.27713642,a
656.7671139,66.6942625,a
22.70644267,69.37633896,a
175.6531016,74.29186809,a
666.0716197,52.8083164,a
279.3843088,99.74047962,a
42.09802119,113.6506007,a
593.7741314,60.40542938,a
514.530395,123.1945847,a
28.10137482,101.9536224,a
582.1695214,75.30285187,a
82.5615991,64.89082329,a
237.1420489,63.95781322,a
102.6238716,61.72775439,a
697.6128338,94.61815726,a
361.0293114,98.03687644,a
292.6465444,119.318941,a
17.24073825,115.429978,a
238.4040559,30.52936527,a
604.9650328,100.2607984,a
306.4728549,142.6580954,a
672.5785662,53.54121348,a
281.3837197,-19.24434221,a
449.0309709,106.2888672,a
192.5836627,66.11709239,a
440.7577678,103.051172,a
361.0190761,54.11951032,a
160.8837492,99.1331635,a
262.0023644,68.83981104,a
465.3806907,132.3733032,a
188.5133843,114.1249975,a
540.6273306,114.5712069,a
380.2747863,271.7054296,a
251.1889013,105.5863026,a
109.681718,97.74755728,a
140.2903893,96.80198995,a
50.73364787,192.2832189,a
592.8109191,45.3805116,a
600.6803292,128.2846473,a
459.8054954,92.99207453,a
24.28611358,215.2194497,a
117.1390985,112.2827249,a
135.6761509,122.0583872,a
95.59175246,41.39831132,a
175.9196255,40.32679127,a
443.8522351,104.0352262,a
312.0922759,97.82139392,a
237.0959971,114.4707315,a
127.070552,110.0288244,a
426.2878641,73.543769,a
570.4706377,96.87675722,a
215.5726477,63.10976604,a
184.3404916,25.28076571,a
81.55687658,83.21913511,a
76.44902958,78.24484731,a
693.8263145,50.20944595,a
376.5231643,140.7863376,a
378.3625354,107.1604462,a
611.5614002,93.33827549,a
340.3353848,90.77926849,a
435.9318516,48.20074783,a
198.3935157,99.13318858,a
621.0372468,14.11053174,a
316.1261625,35.73198174,a
481.6706013,32.72323831,a
601.9644997,24.63368185,a
441.7354749,39.88024199,a
303.533956,93.28264148,a
251.891533,98.82796366,a
318.7413908,63.78324376,a
175.4170083,61.52872009,a
310.9773702,59.45963057,a
83.91822173,53.08860204,a
46.16703485,83.5355717,a
29.66140722,54.01110551,a
400.9521284,104.1930907,a
583.5511447,53.34479112,a
407.3321839,42.54238644,a
528.1179607,172.7187512,a
221.6685866,4.564818062,a
371.8468766,95.79484352,a
217.1651388,76.62874951,a
549.3424772,124.5941598,a
386.1544055,121.9501024,a
37.72236272,95.50824432,a
463.2473388,65.39920796,a
136.9875289,88.68089105,a
38.80671881,59.59787853,a
191.7679337,192.5265145,a
436.2369589,101.2722498,a
555.9727013,115.8623108,a
488.662302,95.90684549,a
427.9751787,42.50723291,a
496.1828766,73.9932611,a
583.9433621,100.4021351,a
436.2151573,53.11823242,a
67.73641435,205.6701549,a
484.2918168,72.07571306,a
272.509284,61.93060569,a
150.654073,88.2170852,a
226.6012643,92.1706831,a
633.2024855,85.14302127,a
612.7968482,97.75031512,a
512.7913586,152.1106819,a
224.1169803,114.3971234,a
607.4457289,14.88372709,a
443.6949462,107.1754966,a
279.9365285,109.3627987,a
4.902953313,74.97910116,a
298.5738244,119.2445598,a
211.5850967,76.41786443,a
410.717871,102.5980408,a
657.7965255,127.81214,a
606.458763,56.21391825,a
711.8173139,87.88393837,a
165.9946889,65.65304747,a
427.5127986,96.58462974,a
456.4138657,48.84954585,a
59.01574911,144.7492209,a
284.9175554,-16.23086987,a
178.2064367,214.6692975,a
173.583317,93.86276042,a
701.6901965,90.42147812,a
306.2575994,50.72332634,a
641.435807,55.44880301,a
153.9848218,112.734711,a
277.5844147,30.10858586,a
57.58548442,105.7317301,a
357.4469186,104.112552,a
271.0235915,111.6663027,a
592.7863024,9.601927265,a
24.49711937,79.13123487,a
50.64073173,94.27312511,a
83.30744082,76.70052395,a
12.27995909,197.0760894,a
346.3785707,71.93866033,a
494.0666412,76.88582877,a
342.5101131,71.8017062,a
654.3962345,31.42776217,a
180.9414366,38.17200468,a
166.7558727,108.7679238,a
392.4597468,92.91199039,a
637.2295263,103.6010727,a
691.1371609,71.63922651,a
709.8563628,74.18904583,a
282.8953518,93.95272331,a
653.8559917,68.22508048,a
-11.2212851,74.39838272,a
240.7911279,38.56955791,a
266.1423008,81.55588917,a
654.4676668,-6.799497438,a
151.0303889,29.18407092,a
142.3724718,127.3894334,a
480.0189316,94.83572873,a
250.9652106,26.0736056,a
417.431234,7.022723622,a
172.9050065,114.7955597,a
611.2586003,50.41516781,a
664.0573291,110.3731913,a
606.0129301,87.0207581,a
331.0144972,100.2374041,a
80.40591431,170.8293673,a
402.1194668,18.55984906,a
434.3424662,19.63366648,a
281.5521177,95.71906444,a
234.4822281,55.10991667,a
564.7546728,42.8718987,a
31.30917266,79.15114383,a
139.6138922,105.479474,a
350.9198245,72.62398698,a
421.823127,83.16506556,a
546.2065443,118.2778019,a
328.5130957,76.66966381,a
394.4063989,73.99216864,a
155.8880557,110.7872486,a
134.5091283,25.09451455,a
502.3784846,120.3767506,a
686.4872563,66.54683517,a
541.7197529,99.25020718,a
568.9330315,132.8399127,a
206.2854847,135.2336104,a
143.2003393,126.9244054,a
656.4375313,30.94179543,a
223.4481358,69.05839998,a
365.9255823,34.46326014,a
187.8171632,26.07050338,a
135.0954913,117.350494,a
288.3848308,121.4232593,a
503.6724042,116.274116,a
601.7618471,12.73250462,a
146.5377825,100.5176928,a
547.3934027,130.0518994,a
