age,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,employment_type
52,13,0,2,0,1,0,0,50,1,0,1
67,9,0,1,0,0,0,0,2,1,1,2
23,9,0,3,3,1,0,0,60,1,1,1
41,13,0,2,0,1,0,0,45,1,0,0
58,9,0,2,0,1,0,0,40,0,0,1
22,10,1,4,0,1,0,0,32,1,1,1
22,10,1,4,0,0,0,0,20,1,1,1
47,13,0,2,0,1,0,0,40,1,0,1
51,13,1,3,0,0,0,0,40,1,1,1
40,11,0,2,0,1,0,0,40,1,1,1
56,9,0,2,0,1,0,0,40,0,0,1
42,11,0,2,0,1,1,0,40,1,1,1
57,13,0,2,0,1,0,0,55,1,0,1
61,13,0,2,0,1,0,0,40,1,1,1
42,16,0,2,0,1,0,0,41,1,0,2
22,10,1,3,0,0,0,0,35,1,1,1
51,9,1,3,0,1,0,0,50,1,1,1
29,7,0,2,0,1,0,0,60,1,1,1
26,9,1,3,0,1,0,0,40,1,1,1
55,9,0,2,0,1,0,0,60,1,1,2
48,7,1,0,3,1,0,0,22,1,1,1
35,9,1,3,0,1,0,0,70,1,1,1
30,13,0,2,2,1,0,0,40,0,0,0
38,16,1,3,2,1,1,0,60,0,0,1
40,13,1,3,0,1,0,0,40,1,1,1
22,10,1,3,0,1,0,0,15,1,1,1
23,13,0,2,0,1,1,0,40,1,1,1
37,2,0,2,0,1,0,0,53,0,1,1
44,13,0,2,3,1,0,1,50,1,0,1
22,13,1,4,0,0,0,0,50,1,1,1
28,11,0,2,0,1,0,0,40,1,0,1
18,9,1,4,0,0,0,0,40,1,1,1
46,9,1,3,0,1,0,0,15,1,1,1
20,10,1,4,0,1,0,1,36,1,1,1
35,10,0,2,0,1,0,0,50,1,0,1
29,9,1,0,0,1,0,0,35,1,1,1
53,6,1,0,0,0,0,0,48,1,1,1
42,10,1,4,0,1,0,0,40,1,1,1
63,9,0,2,0,1,0,0,45,1,1,1
25,10,0,2,0,1,0,0,40,1,1,1
32,9,0,2,0,1,0,0,40,1,1,0
35,5,0,2,0,1,0,0,40,0,1,1
49,11,0,2,0,1,0,0,40,1,1,2
57,10,0,2,0,1,0,0,48,1,1,2
25,9,1,3,0,0,0,0,40,1,1,1
34,9,1,3,3,1,0,0,40,1,1,1
39,10,1,3,0,1,0,0,40,1,1,1
33,10,0,2,0,1,0,0,50,1,1,1
24,9,1,0,3,1,0,0,40,1,1,1
47,10,0,2,0,1,0,0,44,1,1,0
49,10,0,2,0,1,1,0,50,1,0,2
53,9,0,2,0,1,0,0,40,1,0,1
