class,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
a,0,0.05,0.98,0.282,235.7133394,313.6952539,337.9256343,202.0521048,39.77527107,36.56440931,110.4448581,184.2630325,620.6149704,115.4282408
a,0.025,0.068,0.974,0.418,150.6300055,330.3070216,636.557282,202.1858622,222.903697,103.2627701,79.78384726,200.9662591,448.1807555,215.9029544
a,0.05,0.076,0.952,0.54,135.4006598,252.0777157,107.4658759,76.42763141,587.0538315,413.2467316,585.9632441,42.04248023,137.6111374,398.0391598
a,0.075,0.086,0.932,0.65,92.67912449,327.7170862,401.0850674,147.9092154,595.9301702,435.9605219,360.9027929,151.1180469,251.035987,245.1346616
a,0.1,0.1,0.892,0.722,256.2058804,300.0803807,375.7545964,209.3382648,408.517237,371.3878271,682.8560453,44.19742055,247.5082598,330.2747376
a,0.125,0.132,0.868,0.756,194.5391449,306.9534463,173.6772638,107.8213185,504.790452,332.6820648,173.5571344,152.6661861,305.8453126,262.3143814
a,0.15,0.158,0.836,0.8,211.6770972,395.8221704,551.1366696,267.9323942,94.66465128,127.9469401,160.7441673,181.1338286,565.8678831,128.4383306
a,0.175,0.182,0.814,0.834,194.8812293,324.0808541,73.26792345,114.0880746,488.5640712,326.126408,570.9133971,76.34157033,556.5755507,78.66911209
a,0.2,0.218,0.796,0.862,200.2510257,291.7721342,291.7823128,143.889185,344.3237318,247.6450584,306.6170951,164.5713947,414.5187074,219.7868449
a,0.225,0.242,0.786,0.87,258.7008225,391.5464388,437.8026638,181.2045364,677.2608751,498.2089777,111.3863467,198.7598369,-13.76027362,470.6078443
a,0.25,0.28,0.762,0.864,215.3129445,298.6334882,112.3129006,109.0109345,175.6936466,149.6366103,331.4764635,208.2603212,481.7454744,149.3378077
a,0.275,0.31,0.742,0.844,295.7622505,278.1835945,294.8510519,156.1060588,185.0855305,121.123203,552.1933898,124.3297628,450.1702796,119.5253455
a,0.3,0.35,0.708,0.814,214.8624475,326.3507244,612.5038181,237.0511309,343.8547176,258.5617007,5.647982046,242.6707365,338.1879635,282.3702811
a,0.325,0.374,0.678,0.768,84.10143232,339.930318,176.8997678,167.5534407,332.7171872,267.4074389,106.4719839,234.5865986,388.0023066,191.5577101
a,0.35,0.406,0.65,0.668,222.0420128,418.0983932,109.7923173,135.1277459,256.978719,162.1341023,81.44587373,197.2700355,60.65849869,408.8144842
a,0.375,0.432,0.626,0.604,163.3378129,341.4983499,466.3681101,186.1270813,298.0260483,176.4571966,487.2368781,114.6115513,473.1558716,189.2019615
a,0.4,0.468,0.618,0.566,181.3483106,279.4386706,459.2711986,195.1956245,18.63906426,15.53383524,682.1068199,65.39908375,38.99993512,429.7224591
a,0.425,0.49,0.606,0.532,220.6378451,298.1233061,482.7038877,191.9475602,437.9916665,361.8072555,270.6703521,157.365304,356.5669111,240.8448825
a,0.45,0.51,0.6,0.5,177.7481727,377.8117543,6.507289163,16.52956661,362.8897505,259.1997958,121.1077602,204.0684708,568.2892833,72.92714522
a,0.475,0.532,0.584,0.478,221.1875471,246.8421658,639.4874769,199.8203502,505.7200455,346.1205028,367.9696898,104.1722622,153.3123577,323.1123886
a,0.5,0.556,0.558,0.466,200.501789,334.5450308,65.52981284,159.2718663,394.1720379,254.5883372,552.9023118,109.8436686,284.3243259,234.8456296
a,0.525,0.588,0.536,0.462,281.4966131,315.5817306,690.8417209,221.9871866,663.4679958,390.7934915,475.4625826,167.1951092,126.2201024,339.9955013
a,0.55,0.612,0.526,0.47,228.8185589,333.849708,3.795632638,44.95205995,312.0404775,217.2755298,282.0924734,155.990591,76.47346001,348.1821556
a,0.575,0.636,0.5,0.498,207.5409722,289.2308856,169.2210717,144.0169611,401.8665145,270.1678949,454.2073935,144.4055577,664.7275806,15.79717055
a,0.6,0.658,0.474,0.544,234.9571147,262.5925844,515.5788458,240.7933708,36.34439674,86.01065838,538.077973,122.370123,125.167563,350.6814834
a,0.625,0.68,0.462,0.608,280.0551215,353.1977211,287.5315122,177.384031,638.8473036,461.6111612,75.40071792,231.1613152,533.9139881,111.9165502
a,0.65,0.698,0.432,0.65,141.3043802,289.9142301,78.69778314,100.6024403,222.2786615,248.7208735,83.92557113,188.6701418,82.86473548,442.3625973
a,0.675,0.714,0.4,0.692,148.3593724,283.3620863,35.20517177,97.67536548,185.297087,181.0584808,167.893546,152.0254691,348.8224731,266.5971598
a,0.7,0.742,0.368,0.738,184.1322324,345.2261869,514.9273853,249.9673415,512.1816629,379.3196109,279.7987555,137.1786964,69.62663986,416.0781049
a,0.725,0.766,0.35,0.766,241.5978386,291.6859642,679.6059242,221.7440399,589.2598925,373.8659942,666.6544384,62.2488936,596.8513437,42.16859096
a,0.75,0.778,0.332,0.8,103.1078915,261.3258363,523.4501804,221.8856473,72.14641293,153.6936525,332.9199404,196.7416429,88.33270342,367.7115968
a,0.775,0.798,0.312,0.826,90.52261584,247.0304175,442.8566991,204.0584811,235.217947,164.9344419,440.0169792,111.0216642,-22.45699975,423.6847119
a,0.8,0.826,0.294,0.84,146.7771903,349.2490204,238.7639136,139.0550578,363.9132437,266.0848171,414.4983415,166.1051645,470.5956796,148.3981155
a,0.825,0.854,0.256,0.824,94.2765432,355.6943237,517.3900464,278.2228385,413.9813506,330.7371626,319.005284,200.3392076,573.5603259,52.09165864
a,0.85,0.876,0.242,0.784,169.8270692,301.1337197,611.72078,285.1548479,410.8093589,312.3296655,550.4317017,105.963966,598.0507262,56.22325006
a,0.875,0.91,0.234,0.746,167.593431,398.117796,685.360871,200.314619,86.16672942,102.9425978,304.666507,188.207244,88.74979693,419.4677112
a,0.9,0.94,0.21,0.698,252.3661127,345.9937101,431.820082,169.7096228,256.0327834,245.4834112,487.2718689,156.5823741,471.0287099,158.5409897
a,0.925,0.964,0.19,0.61,166.3176091,321.7799391,617.4760532,254.3368616,466.9425115,398.1057786,53.78580893,253.5720386,75.84566567,403.085159
a,0.95,0.986,0.166,0.458,216.0582745,322.111171,214.1057717,80.41986511,-17.24255686,-12.90155966,-1.089557332,257.2767223,684.4176693,16.24866586
a,0.975,1.006,0.14,0.356,133.5278733,322.8788691,-6.104840976,103.4998922,275.8308242,178.5435788,275.4670995,151.2604845,566.1796394,136.9638571
b,0,0.19,0.842,0.136,506.1954017,417.4724377,198.708458,180.3345418,267.6540359,254.3774227,448.812151,159.0510966,97.94290274,365.0402779
b,0.025,0.254,0.756,0.206,602.5050669,293.3365166,661.1418429,214.8796854,476.4382452,319.7027348,526.970868,90.45178196,378.488009,228.212167
b,0.05,0.27,0.692,0.28,571.3307454,311.3847249,526.1422953,195.1127837,647.2991281,458.7557959,610.3894798,117.2669229,198.2243249,332.100717
b,0.075,0.27,0.636,0.294,520.8198193,297.0525278,434.9154086,202.4908158,662.2224844,448.0833464,634.7180836,69.61186763,238.3168471,318.5857277
b,0.1,0.22,0.594,0.382,476.5053584,366.847005,92.43621948,100.959608,406.6621931,221.9161394,659.5049031,54.94357541,151.9529378,385.2155515
b,0.125,0.198,0.524,0.404,576.8084053,338.6608589,314.8269378,173.1117477,208.1911178,169.1623128,193.9115203,173.4881131,610.653961,84.11156988
b,0.15,0.226,0.46,0.418,466.0191476,382.6795285,429.2791533,181.0109487,353.0883774,311.3260014,552.5624301,121.503562,395.7772636,180.9270716
b,0.175,0.238,0.38,0.476,491.9531835,397.048876,674.7811857,232.6202119,152.1860716,78.18314557,40.4633817,208.5290964,456.1012295,161.3835011
b,0.2,0.248,0.334,0.462,634.8529265,363.4761279,504.6603995,170.386569,106.3778938,95.2987838,200.0116107,163.5612782,18.00333493,484.9944018
b,0.225,0.218,0.304,0.57,594.2997749,401.9699285,227.279109,158.5169997,284.4568653,257.5911473,333.3350837,139.9029528,476.4998018,132.1789086
b,0.25,0.24,0.284,0.606,540.0811691,296.5116818,147.0492889,98.45631446,77.62508969,160.9248129,584.8687509,177.6679047,116.2906587,365.0087792
b,0.275,0.272,0.268,0.556,544.0686476,313.3751813,580.3234592,209.9980045,481.5054967,365.9961041,202.6567232,180.1240123,236.0874094,315.1334526
b,0.3,0.286,0.26,0.676,632.881947,320.5449661,621.2819112,228.3449439,144.5349006,196.6178322,424.3495471,142.0657649,534.7270634,110.9443736
b,0.325,0.276,0.274,0.712,591.9607787,357.128344,754.7743031,261.2827715,282.5888911,209.4687135,574.2152344,97.17963007,27.07444662,405.3710474
b,0.35,0.222,0.278,0.714,515.2095387,429.510286,16.64805141,64.92907119,431.2817967,277.5035468,728.3044022,80.89675618,425.2399463,226.7928225
b,0.375,0.212,0.3,0.77,453.7346517,427.4019685,668.9019118,254.3828302,620.1394508,448.9073275,148.8661502,210.3850169,-5.274840519,438.2174511
b,0.4,0.244,0.348,0.786,557.2159765,363.3771357,3.943022023,96.97406118,494.6740608,314.8456119,237.4420442,151.0389338,382.2981469,261.1811748
