a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
302.163471,30.66847598,221.7501496,460.7265242,148.8587763,99.24374098,298.9235587,397.6795909,230.4304462,351.0441417
619.4751015,101.9070683,137.5099068,359.2963671,148.3843868,99.3423078,346.0618806,353.6669784,274.8166082,395.3343094
347.2486012,63.54814184,184.9285648,414.0785284,58.18441108,109.0150967,305.0989798,435.8620727,247.5874246,395.3060696
147.1446388,74.2324229,211.4679834,352.077569,54.15074575,96.76797458,328.7098243,387.696055,302.7107383,361.1495589
555.6907337,75.70770404,159.7162319,326.3011067,148.8722393,136.3414153,256.2825713,344.5752219,231.5349417,336.4944201
577.6189011,57.43551048,137.9464658,371.7888725,162.372315,153.2499285,302.7003682,350.1392859,275.3212412,352.1858475
662.2114416,54.23450736,146.6134844,424.0523986,68.01053475,89.93859635,271.6549473,401.2648524,257.3405064,401.5826376
146.040556,62.00798858,213.4902218,353.4417266,207.5490228,127.8661412,424.2712115,355.6268243,293.189622,331.2948481
665.0646842,57.30918817,161.0108711,338.6007791,114.2718227,93.29295365,363.6301265,415.9330531,273.7649364,368.5844898
78.26015266,100.4217311,146.0004001,405.8672409,120.7321827,150.4437279,374.1392652,342.2494947,253.1712784,474.3096206
500.0636148,85.6609629,262.1568117,335.5758167,172.5283288,19.84937614,387.3740846,455.3314799,268.808333,324.2615109
248.0085549,81.45168913,130.8137502,380.9424748,185.6323475,194.5591,380.5040549,360.5286341,298.8883618,436.0308725
413.621794,99.97864441,136.0412482,373.1358011,192.3860274,8.253513462,325.909469,394.3230191,300.4847601,372.3448247
233.4692158,96.41770206,184.738121,395.8082031,111.0267956,138.4049179,367.2844195,350.4683309,193.312443,322.2737441
475.2551914,70.50003939,81.5530069,340.4808598,144.5980206,86.43958337,381.0065217,400.552295,235.400925,388.6547429
290.0652644,89.93216656,132.2115766,316.4148923,121.3982248,184.4356128,333.2561907,422.3499532,190.8712071,358.9106252
406.9624607,58.37675108,139.0731941,341.5097884,92.97448251,159.5093671,320.5923419,329.0899405,248.1183946,420.6316055
304.3743027,53.68066158,221.2154217,269.996421,267.7309653,151.462779,290.074324,340.3414509,231.8536122,368.0469662
164.6665876,91.21719459,160.1283459,378.3546956,150.685643,109.4400548,268.2319206,343.92644,180.5400426,354.7065411
238.0324631,53.54645956,85.79021195,330.5928464,154.6347173,108.4205143,319.8539117,437.6751133,266.0283818,378.8144716
