age,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,employment_type
42.0,14.0,0,2,0,1,0,0,39.0,1,0,1
38.0,9.0,0,1,0,0,0,0,38.0,1,1,1
22.0,9.0,1,3,0,1,0,0,29.0,1,1,1
29.0,6.0,1,2,0,1,0,0,50.0,1,1,1
26.0,9.0,1,2,0,1,0,0,36.0,1,1,1
29.0,11.0,0,0,0,0,0,0,37.0,1,1,1
20.0,6.0,1,4,3,1,0,0,40.0,1,1,1
40.0,9.0,0,2,0,1,0,0,51.0,1,0,0
52.0,9.0,1,3,0,1,1,0,67.0,1,1,1
30.0,10.0,1,2,0,1,0,0,55.0,1,1,1
64.0,14.0,0,3,0,1,0,0,18.0,1,1,1
33.0,11.0,1,3,0,1,0,0,51.0,1,1,1
33.0,13.0,0,0,3,0,0,0,63.0,1,1,1
45.0,15.0,1,3,0,1,1,0,39.0,1,0,1
74.0,9.0,1,3,0,0,0,0,40.0,1,1,1
18.0,13.0,1,4,0,1,0,0,51.0,1,1,1
68.0,9.0,1,3,0,1,0,0,37.0,1,1,1
46.0,9.0,0,0,0,0,0,0,40.0,1,1,2
49.0,7.0,0,2,0,1,0,0,40.0,1,1,1
39.0,6.0,0,0,0,0,0,0,30.0,1,1,1
25.0,9.0,0,2,0,1,1,1,7.0,1,0,1
34.0,11.0,0,2,0,1,0,0,35.0,1,1,1
46.0,9.0,0,5,3,1,0,0,37.0,1,1,1
34.0,15.0,0,2,3,1,0,0,35.0,1,0,1
22.0,10.0,1,5,0,1,0,0,16.0,1,1,1
17.0,13.0,1,0,0,1,0,0,10.0,1,1,1
55.0,11.0,1,2,3,1,0,0,39.0,1,1,1
52.0,6.0,0,1,0,0,1,0,39.0,1,0,1
39.0,11.0,0,2,0,1,0,0,52.0,1,1,1
42.0,10.0,0,2,0,1,0,0,38.0,1,0,2
19.0,11.0,1,5,0,1,0,0,14.0,1,1,0
31.0,14.0,1,2,0,1,0,0,43.0,1,1,1
29.0,15.0,0,2,0,1,0,1,36.0,1,0,1
42.0,9.0,0,2,0,1,0,0,45.0,1,1,0
56.0,11.0,1,2,0,1,0,0,38.0,1,1,1
43.0,14.0,1,3,0,0,0,0,54.0,1,1,1
45.0,7.0,0,3,0,0,0,0,39.0,1,1,1
40.0,13.0,0,2,0,1,0,0,38.0,1,0,1
49.0,9.0,1,2,0,1,1,0,58.0,1,1,1
45.0,13.0,0,3,0,0,0,0,40.0,1,1,0
57.0,6.0,1,2,0,1,0,0,37.0,1,1,1
48.0,10.0,0,1,0,0,0,0,36.0,1,0,1
31.0,13.0,0,2,0,1,0,1,38.0,1,0,1
36.0,9.0,1,2,0,1,0,0,38.0,0,1,2
18.0,2.0,0,4,0,0,0,0,38.0,0,1,1
38.0,13.0,0,0,3,1,0,0,37.0,1,0,0
65.0,12.0,0,2,0,1,0,0,52.0,1,0,1
41.0,4.0,1,2,0,1,0,0,36.0,1,1,1
40.0,9.0,0,0,0,1,0,0,37.0,1,1,1
53.0,7.0,0,1,0,0,0,0,40.0,1,1,1
38.0,9.0,1,3,2,1,0,1,65.0,0,1,0
37.0,11.0,0,2,3,1,0,0,37.0,1,1,1
36.0,9.0,1,3,0,0,1,0,39.0,1,1,1
33.0,13.0,0,2,0,1,0,0,63.0,1,0,1
23.0,6.0,1,4,0,0,0,0,43.0,1,1,1
46.0,14.0,0,2,0,1,0,0,34.0,1,0,0
21.0,11.0,0,4,0,1,0,0,18.0,1,1,1
19.0,8.0,1,4,0,0,0,0,20.0,1,1,1
23.0,15.0,0,4,0,1,0,0,37.0,1,1,1
19.0,1.0,1,4,2,1,0,0,28.0,0,1,1
46.0,13.0,0,2,0,1,0,0,40.0,1,0,0
55.0,9.0,0,4,0,1,0,0,51.0,1,1,1
68.0,10.0,0,3,0,1,0,0,38.0,1,0,2
19.0,10.0,0,4,3,0,0,0,19.0,1,1,1
34.0,14.0,0,2,0,1,0,0,61.0,1,1,1
22.0,9.0,1,3,1,1,0,0,39.0,1,0,1
56.0,9.0,0,2,0,1,0,0,36.0,1,1,1
33.0,12.0,1,2,0,1,0,0,19.0,1,1,1
48.0,13.0,1,3,0,1,0,0,50.0,1,1,1
40.0,9.0,1,3,0,1,0,0,36.0,1,1,1
32.0,9.0,0,2,0,1,1,0,49.0,1,0,1
51.0,9.0,0,0,0,0,0,0,37.0,1,1,1
