class,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
c,0.8699155652618461,0.8851436948416025,0.2133499773234385,0.1927810541661726,377.87939464207733,97.12807820814263,360.7937257862243,198.58963686476633,366.5770147686256,263.9057880407326,-0.8704988931628919,181.76353820752567,352.67044226476406,253.88734581286226
a,0.32945027714333974,0.4997934779124311,0.7407911870764896,0.22793485296024035,286.61435007095844,204.9668453173337,624.2782936768688,201.13084572230125,260.33926411462687,246.32447367447645,305.43315617494494,36.49846074295972,479.63348348947704,150.08089687240772
b,0.5567528645655037,0.2684035889492606,0.6791499229281476,0.2850297057911391,565.2562659901791,331.3488255722461,20.81621389804615,78.73272379572421,419.88858040887243,295.5241062473941,99.72024620912367,221.9011021708709,375.7906496850253,235.06694137903014
b,0.11012219157678196,0.2655110862169938,0.7674202334960368,0.37812156437977745,591.2088281451529,382.2713949377464,78.61401987248111,109.87253606652305,72.73643827739127,65.51536796761248,671.633377089185,225.8593382006012,358.36533090386314,281.12386495858345
d,0.9511746426667197,0.6862871188478099,0.06692469406162735,1.0026453053664819,372.6047611665844,149.6561410337645,55.566567701352525,74.88435747125676,605.1765816433317,431.5919553389589,598.0889418156775,94.80014358559679,238.79376306634126,267.2083825514705
c,0.4584905392007077,0.21047185042781452,0.6073519156490335,0.6117053324658965,378.60741230145265,242.8688899232014,533.6065399363977,212.43641756819062,164.27187279419525,88.12049700232696,701.0694454989398,35.50773949672353,441.5929554204915,187.81248654110163
c,0.13571018121544515,0.0900402041348372,0.7831517900590966,0.24108039204952972,313.16559263691875,73.79222677384139,240.47408412304574,151.95430333087768,433.1280730517063,282.42169723294364,672.6916006817037,117.28095963988126,243.6756092302514,269.72320412097577
d,0.11228649539634772,0.7311945813784981,0.10535789040537447,0.9668156779822671,377.433178392082,100.34880563198207,424.154035384768,171.79224711442478,503.96355830724104,326.1059611193373,663.689561260268,85.4510484391628,612.7923284569342,379.7647071036673
d,0.12073410151492735,0.8893966904611984,0.7716838201050584,0.21316111486250777,306.0604007764065,161.46634469440335,104.90708341850414,188.62836634459686,34.25090711301823,-7.032762888223362,665.7049420566636,80.39959769458707,665.1651159256219,-4.675678194245563
a,0.8571898744234328,0.8153944560400412,0.8278029802802003,0.5594411513620845,202.51810221846068,301.86193245996805,66.47646364988557,59.531162265285175,509.0944284227345,41.04291698361208,606.2510291565164,94.4698993074481,206.63172669840142,347.95576118885185
d,0.7267705031532726,0.8980472552402297,0.7106460911241664,0.2243354867989079,407.53602163537767,91.20067173858673,495.49890592196874,221.5036106933919,643.8485328536793,450.70307307422314,276.0599815947158,96.20883675195425,541.9818015949652,84.78519639937232
a,0.2683534842210978,0.2572568113038314,0.7692262749533859,0.19893225906232187,195.69486193832483,345.6768296712777,280.0568818381662,146.81827629655587,150.71974248399462,84.51261446758363,215.15917675293213,180.92535131003953,364.4034127976829,268.54349851775555
