age,education,sex,relationship,marital-status,income
27.0,HS-grad,Male,Not-in-family,Divorced,<=50K
23.0,10th,Male,Own-child,Never-married,<=50K
51.0,Some-college,Female,Not-in-family,Divorced,<=50K
54.0,Some-college,Male,Not-in-family,Divorced,<=50K
48.0,Masters,Female,Not-in-family,Divorced,<=50K
40.0,HS-grad,Male,Not-in-family,Separated,<=50K
31.0,Some-college,Female,Not-in-family,Divorced,<=50K
29.0,Bachelors,Female,Unmarried,Never-married,>50K
44.0,Some-college,Female,Wife,Married-civ-spouse,>50K
37.0,Some-college,Male,Husband,Married-civ-spouse,>50K
28.0,Some-college,Male,Own-child,Never-married,<=50K
33.0,HS-grad,Male,Not-in-family,Never-married,<=50K
22.0,Some-college,Female,Not-in-family,Never-married,<=50K
75.0,Bachelors,Female,Unmarried,Married-spouse-absent,>50K
30.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
18.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
42.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
32.0,Assoc-acdm,Female,Own-child,Married-civ-spouse,<=50K
24.0,Bachelors,Female,Own-child,Never-married,<=50K
46.0,Bachelors,Female,Unmarried,Separated,<=50K
22.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
23.0,Bachelors,Female,Own-child,Never-married,<=50K
49.0,Bachelors,Male,Not-in-family,Divorced,<=50K
19.0,Some-college,Male,Own-child,Never-married,<=50K
41.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
32.0,HS-grad,Female,Not-in-family,Never-married,<=50K
37.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
74.0,Assoc-voc,Female,Unmarried,Divorced,>50K
24.0,Bachelors,Male,Not-in-family,Never-married,<=50K
57.0,Some-college,Female,Not-in-family,Divorced,<=50K
41.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
29.0,Doctorate,Female,Not-in-family,Never-married,<=50K
31.0,7th-8th,Female,Not-in-family,Never-married,<=50K
30.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
17.0,Some-college,Female,Not-in-family,Never-married,<=50K
49.0,1st-4th,Female,Not-in-family,Divorced,<=50K
29.0,Some-college,Male,Not-in-family,Never-married,<=50K
38.0,Some-college,Female,Unmarried,Divorced,<=50K
52.0,HS-grad,Female,Other-relative,Married-civ-spouse,>50K
43.0,7th-8th,Male,Husband,Married-civ-spouse,<=50K
41.0,Some-college,Male,Not-in-family,Never-married,<=50K
20.0,10th,Male,Own-child,Never-married,<=50K
29.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
18.0,HS-grad,Female,Other-relative,Never-married,<=50K
57.0,7th-8th,Male,Other-relative,Never-married,<=50K
29.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
43.0,Some-college,Male,Husband,Married-civ-spouse,>50K
75.0,10th,Male,Husband,Married-civ-spouse,<=50K
45.0,Some-college,Female,Not-in-family,Widowed,<=50K
26.0,Some-college,Male,Not-in-family,Never-married,<=50K
32.0,Bachelors,Female,Wife,Married-civ-spouse,>50K
40.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
37.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
35.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
28.0,Bachelors,Female,Not-in-family,Divorced,>50K
52.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
38.0,HS-grad,Male,Not-in-family,Separated,<=50K
30.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
71.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
66.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
28.0,Masters,Female,Not-in-family,Never-married,<=50K
37.0,11th,Male,Husband,Married-civ-spouse,<=50K
48.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
30.0,Masters,Male,Husband,Married-civ-spouse,>50K
23.0,Some-college,Female,Own-child,Never-married,<=50K
44.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
88.0,Doctorate,Female,Own-child,Never-married,<=50K
36.0,Prof-school,Male,Husband,Married-civ-spouse,<=50K
43.0,Masters,Female,Wife,Married-civ-spouse,>50K
29.0,Bachelors,Male,Not-in-family,Never-married,<=50K
67.0,Some-college,Female,Wife,Married-civ-spouse,<=50K
34.0,5th-6th,Female,Not-in-family,Never-married,<=50K
19.0,10th,Male,Own-child,Never-married,<=50K
68.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
53.0,Masters,Male,Husband,Married-civ-spouse,>50K
46.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
39.0,Masters,Male,Husband,Married-civ-spouse,>50K
31.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
24.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
53.0,HS-grad,Female,Not-in-family,Divorced,<=50K
41.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
22.0,HS-grad,Male,Own-child,Never-married,<=50K
34.0,Some-college,Female,Not-in-family,Separated,<=50K
73.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
31.0,HS-grad,Male,Not-in-family,Never-married,<=50K
